Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,1.79874080986657,2.22215348640637,1.41953811798114
2020-06-05,1.57426730811137,1.94233884581246,1.24439297910666
2020-06-06,1.48448745337813,1.82258135691054,1.18065692597129
2020-06-07,1.64423658929896,1.98355736693211,1.33635436508042
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,1.30629148147348,1.61806360783347,1.02748111611059
2020-06-20,,,
2020-06-21,1.1632951338622,1.44490950885336,0.911837686751375
2020-06-22,1.13510514145789,1.40989518884648,0.889741232708668
2020-06-23,1.10697931053066,1.37496056274156,0.867695071021828
2020-06-24,1.43010076306783,1.73001335579248,1.15838620952764
2020-06-25,1.21754912305593,1.48477595482522,0.976509999917756
2020-06-26,1.13011861412858,1.38116022369696,0.903949017223857
2020-06-27,1.11985965196445,1.3671208064496,0.896961673874839
2020-06-28,0.922643714168958,1.14600038896443,0.723205389186451
2020-06-29,1.0280485311102,1.26523951765653,0.815178548146336
2020-06-30,1.12484870937766,1.3732114305579,0.900957704342189
2020-07-01,,,
2020-07-02,,,
2020-07-03,,,
2020-07-04,,,
2020-07-05,1.04944616254208,1.30349959795012,0.822598267084151
2020-07-06,,,
2020-07-07,,,
2020-07-08,,,
2020-07-09,,,
2020-07-10,,,
2020-07-11,,,
2020-07-12,,,
2020-07-13,,,
2020-07-14,,,
2020-07-15,,,
2020-07-16,,,
2020-07-17,,,
2020-07-18,1.36763029099271,1.66602664829213,1.09831942520478
2020-07-19,1.18286762186688,1.45226722556781,0.940769722968203
2020-07-20,1.22643255243363,1.49402168710685,0.984926046836528
2020-07-21,1.23300200405337,1.49590763664595,0.995191750408922
2020-07-22,1.45844157285873,1.73679876236496,1.2040930944004
2020-07-23,1.62338962194026,1.90415114082068,1.36474034569443
2020-07-24,1.7841628110074,2.06048343101456,1.52748366984553
2020-07-25,1.55003533557939,1.78937692744624,1.32765916691309
2020-07-26,1.56314580136974,1.79003367980802,1.35143732029886
2020-07-27,1.3900425145895,1.59342642516826,1.2003678634571
2020-07-28,1.23439603957978,1.41902119183214,1.0624741926598
2020-07-29,1.10016911999062,1.27107153916549,0.941449032553963
2020-07-30,1.02119780015328,1.18485805761664,0.869547450669627
2020-07-31,0.947912183669148,1.10604833673159,0.801821447141442
2020-08-01,0.827967511656794,0.977427970326638,0.690753461227008
2020-08-02,0.875234108329043,1.0319588909764,0.731255799673489
2020-08-03,0.808276904573349,0.961850099091065,0.66789484572012
2020-08-04,1.00107117556642,1.1748542639971,0.84102246713844
2020-08-05,1.02314377225605,1.19943699334533,0.860687332230981
2020-08-06,0.876695835828472,1.03964957581736,0.727458958094564
2020-08-07,0.844117390604282,1.00595961236612,0.696292755445307
2020-08-08,0.882949521227822,1.05146868015655,0.728965384009618
2020-08-09,0.915248225829606,1.0891460484966,0.756287318278318
2020-08-10,0.987938323912342,1.17000949244418,0.821073336139931
2020-08-11,0.862180541908472,1.0330368980586,0.706577760823335
2020-08-12,0.874659371667256,1.04883954945199,0.716099427289157
2020-08-13,0.884090026089675,1.06190650428098,0.722365616475071
2020-08-14,0.818879201643999,0.992510192404903,0.661737749853968
2020-08-15,0.876289842303162,1.05906792240431,0.710612030655024
2020-08-16,0.790366354778702,0.967015241392444,0.631316572288572
2020-08-17,1.09397986287928,1.30469300195082,0.901594243512441
2020-08-18,1.13985079917689,1.35356348226387,0.944271876985139
2020-08-19,1.03539838143468,1.23575381445744,0.852543824310567
2020-08-20,1.08741610673052,1.29129771471745,0.900834081888422
2020-08-21,1.1712513010775,1.38098273617576,0.978577387052708
2020-08-22,1.13334973336973,1.33629428150316,0.946910726739461
2020-08-23,1.1607862862251,1.3630577422481,0.974556635073254
2020-08-24,0.913021136747555,1.0905235255868,0.751090075785895
