Date,Rt,Rt upper,Rt lower
2020-07-24,1.38838272959428,1.58186882551246,1.20735693630552
2020-07-25,1.3523015463894,1.53631397063641,1.17987662447736
2020-07-26,1.29130366796696,1.46539926967336,1.128076249472
2020-07-27,1.09877114479486,1.255378942532,0.952463676149659
2020-07-28,1.05255208780745,1.20452550370604,0.910696065749782
2020-07-29,0.975628944913,1.1219625365004,0.839390501446514
2020-07-30,0.845109473858638,0.982325593038486,0.718085463154927
2020-07-31,0.675139834087728,0.800629834705913,0.560213132311134
2020-08-01,0.60615723681506,0.72995011136527,0.493725024726509
2020-08-02,0.559141031742389,0.684110471699139,0.446621996813538
2020-08-03,0.551688008863656,0.682446410874051,0.434667402835776
2020-08-04,0.856840330221867,1.02663842877339,0.702201328472529
2020-08-05,0.845883599593385,1.01774853515203,0.689716985692353
2020-08-06,0.82839679816181,1.00026186373897,0.672532563372474
2020-08-07,0.933145996717886,1.11806541556998,0.764735663626445
2020-08-08,1.06064987388811,1.25864882692603,0.879384153066972
2020-08-09,1.09743479121857,1.29716667725675,0.9141924887951
2020-08-10,1.30080231156993,1.51485008311035,1.10285229684818
2020-08-11,0.978873960715952,1.16004234746182,0.812895661565277
2020-08-12,1.02716004878264,1.21182923973198,0.857565802200011
2020-08-13,0.943095565126475,1.12069667810781,0.78062512687173
2020-08-14,0.945342783361138,1.12415760663961,0.781824238303155
2020-08-15,0.837019444424664,1.00708337869,0.682489326488866
2020-08-16,0.814531735421784,0.985350695131175,0.659773320805128
2020-08-17,0.814864908584693,0.989598825930851,0.65689612534506
2020-08-18,0.91339664536041,1.1018941292434,0.742363721876315
2020-08-19,0.838339316209527,1.02125234452234,0.673255310276487
2020-08-20,0.863163322336288,1.05149257537781,0.693191025593697
2020-08-21,0.980035873894349,1.18336105587063,0.795640494904963
2020-08-22,0.985733242381168,1.19024044076647,0.800265894039074
2020-08-23,1.03555170934416,1.24488437141719,0.845250868551978
2020-08-24,1.05840896104668,1.26918113930923,0.866538535336899
2020-08-25,1.03522013590409,1.24239634585816,0.846707508659872
2020-08-26,1.02710721811964,1.23265980861351,0.840071945684438
2020-08-27,1.0324661179729,1.23807202332373,0.845298661085087
2020-08-28,0.920720214215548,1.11486806370205,0.744917635448638
2020-08-29,0.984195384581872,1.18624034087165,0.800780646603184
2020-08-30,0.953661596973411,1.15365807940075,0.772468955348503
2020-08-31,0.791948303562004,0.975876092148576,0.626992929873571
2020-09-01,0.773859543252561,0.959863379226148,0.607646186545182
2020-09-02,0.849476469723676,1.04943807827247,0.670393545577174
2020-09-03,0.914334784810562,1.1252897767978,0.725010619485698
2020-09-04,1.11672390619831,1.35091688806,0.904549949344099
2020-09-05,1.09310459417642,1.32234426834833,0.885418230774839
2020-09-06,1.08847854543478,1.31430201192522,0.883679497508402
2020-09-07,1.23291776903938,1.47039195128585,1.01609874277253
2020-09-08,1.23348968052338,1.46577699923488,1.02099201179512
2020-09-09,1.19475534680717,1.41778870930323,0.990570917547761
2020-09-10,1.2453655006743,1.46836827850516,1.04049960623677
2020-09-11,1.06222620092747,1.26404994481256,0.877738063000585
2020-09-12,1.18170865416301,1.39247174628084,0.988024078698274
2020-09-13,1.24695706919581,1.46023878623129,1.05030154280713
2020-09-14,1.1555342630008,1.35613170093835,0.970790389786278
2020-09-15,1.09467080539004,1.28688358732877,0.917810127278033
