Date,Rt,Rt upper,Rt lower
2020-07-25,1.18588943612164,1.39739818964254,0.991519621553418
2020-07-26,1.10344008758712,1.30426493074631,0.919195061045446
2020-07-27,1.13097414387976,1.33268850623945,0.945605063144632
2020-07-28,0.635613881139139,0.787315621583119,0.499950638330398
2020-07-29,0.718648946610884,0.885553163623151,0.568961138699928
2020-07-30,0.700949208981931,0.873133816528953,0.547447147669608
2020-07-31,0.769764971994474,0.956112249798859,0.603372859538516
2020-08-01,1.13389781008418,1.36428089607128,0.924558154372964
2020-08-02,1.04502330271742,1.26417964209543,0.84647223032456
2020-08-03,0.959242148605369,1.1673141170836,0.77134396471558
2020-08-04,0.923486387006292,1.12862725108038,0.738669907315563
2020-08-05,0.918160630253248,1.1246482643252,0.732360877137078
2020-08-06,0.846837769481806,1.04755112870012,0.667211844321358
2020-08-07,0.816803594228047,1.01744724217427,0.637930383737626
2020-08-08,,,
2020-08-09,,,
2020-08-10,,,
2020-08-11,,,
2020-08-12,,,
2020-08-13,,,
2020-08-14,,,
2020-08-15,,,
2020-08-16,,,
2020-08-17,,,
2020-08-18,,,
2020-08-19,,,
2020-08-20,,,
2020-08-21,,,
2020-08-22,1.30371340671569,1.62396397325127,1.0182109869583
2020-08-23,,,
2020-08-24,1.1954134767463,1.48690906115873,0.935337422863579
2020-08-25,1.36353214283392,1.66828503804174,1.08914104631924
2020-08-26,1.21630383389406,1.49510657490047,0.96592081222676
2020-08-27,1.20360002544193,1.47428089917304,0.960038517564987
2020-08-28,1.13471986336583,1.39315375389693,0.902476381778356
2020-08-29,,,
2020-08-30,0.987831204372968,1.22870889215282,0.772917079232934
2020-08-31,,,
2020-09-01,,,
2020-09-02,,,
2020-09-03,,,
2020-09-04,,,
2020-09-05,,,
2020-09-06,,,
2020-09-07,,,
2020-09-08,,,
2020-09-09,,,
2020-09-10,,,
2020-09-11,,,
2020-09-12,,,
2020-09-13,,,
2020-09-14,1.19686113554424,1.48870972429829,0.936470126715082
2020-09-15,1.26462417731077,1.5583296215673,1.00121487040846
2020-09-16,1.14328247531143,1.41614929976311,0.899264192121668
2020-09-17,1.08001853751314,1.34147303566,0.846562128756605
2020-09-18,1.12634160146604,1.39147558272609,0.888891177861011
2020-09-19,1.0908284262767,1.34937126134983,0.859448730752298
2020-09-20,1.05911435944301,1.31189280941765,0.833060629700928
2020-09-21,1.0224406850903,1.26995654423542,0.801430283678697
2020-09-22,,,
2020-09-23,,,
2020-09-24,,,
2020-09-25,1.04392612263145,1.29848227505839,0.816807898016772
2020-09-26,1.20983178204023,1.48191413241245,0.965009210685617
2020-09-27,1.19265568544591,1.45758911738137,0.953970602082855
2020-09-28,1.11801855999045,1.36945278587018,0.89177538904527
2020-09-29,1.17034764071246,1.42421110757632,0.941097709890204
2020-09-30,1.23806690066249,1.49492502655508,1.00512255500838
2020-10-01,1.16013068982137,1.4034266952982,0.939709583439418
2020-10-02,1.14639361361498,1.38423255024338,0.93069774932631
2020-10-03,1.0609404739259,1.28715845696536,0.856315889069952
2020-10-04,1.03868639572116,1.26141502338258,0.83732783386504
2020-10-05,1.10353482090658,1.33248196891902,0.895902909719019
2020-10-06,1.16423850531295,1.39723486294531,0.952231752581323
2020-10-07,1.07571581803997,1.29654895629782,0.875245324074833
2020-10-08,1.16439021591466,1.39183205543818,0.956987147438903
2020-10-09,1.36052699226589,1.60222629091961,1.13834168347116
2020-10-10,1.24382610336998,1.46744885861949,1.0384581559592
2020-10-11,1.41732484601254,1.64898223024749,1.20298100049289
2020-10-12,1.43490145800078,1.65916270620315,1.22671703472574
2020-10-13,1.39488137732942,1.60650174597859,1.19801669873884
2020-10-14,1.42958915299035,1.63546253860955,1.23738795919632
2020-10-15,1.23977365794605,1.42417023185645,1.06799859453494
2020-10-16,1.08531066147449,1.25390493869239,0.928734186135286
2020-10-17,1.12201735197757,1.29224094913453,0.963662965031054
2020-10-18,1.03684086847513,1.19938747392385,0.885980283171867
2020-10-19,1.03104905667861,1.19268767385685,0.881031181326464
2020-10-20,0.944574464855063,1.09948089942754,0.80128150838413
2020-10-21,0.932212339710874,1.08719099064345,0.789000667782297
2020-10-22,1.06411030937161,1.23093197301389,0.90928201413365894
2020-10-23,1.13801440630322,1.3096761894201,0.97825808921672
2020-10-24,1.38173506099321,1.56759763667524,1.20745033852738
2020-10-25,1.51433707961384,1.70165036360911,1.33780515354818
2020-10-26,1.4293885525516,1.60223007102485,1.26628443675788
2020-10-27,1.41768890523846,1.58225915783788,1.26203856685149
2020-10-28,1.54024895624185,1.70477855942306,1.38395977524996
2020-10-29,1.60644816582977,1.76602126322879,1.45433234164059
2020-10-30,1.59292461458073,1.74274524067968,1.44974938102186
2020-10-31,1.53494348470118,1.67379290873503,1.40202717394996
2020-11-01,1.71424056248294,1.85338434464403,1.58045471839614
2020-11-02,1.70315651936102,1.83303812059992,1.57798434964462
2020-11-03,1.77808428039421,1.90197936533204,1.65830648069242
2020-11-04,1.6480089716965,1.75897700519522,1.54060845415032
2020-11-05,1.46929111612634,1.56771236630445,1.37401812424456
2020-11-06,1.45598053266341,1.54960935113079,1.3652304881108
2020-11-07,1.5988973271771,1.6929494940721,1.50749718292568
2020-11-08,1.44988453369174,1.53472054091076,1.36742838229997
2020-11-09,1.36120894439499,1.43979327799105,1.28480046700887
2020-11-10,1.19382189858594,1.26503299828422,1.12464618812544
2020-11-11,1.18854328827987,1.25830246730285,1.12074690207642
2020-11-12,1.17581395923908,1.2441645506846,1.10936859812919
2020-11-13,1.12715040401328,1.19304464302281,1.06310308091835
2020-11-14,1.04654430475917,1.10934404642473,0.985549977639999
2020-11-15,1.02052142934823,1.08233319580977,0.960502845414443
2020-11-16,1.0028517152808,1.06414357127935,0.943353607044347
2020-11-17,1.02909525278281,1.09125111237825,0.968737632897328
2020-11-18,0.986517901053731,1.04730846657045,0.927520653838116
2020-11-19,0.980748557588853,1.0414501544892,0.921845323133057
2020-11-20,1.01161708539196,1.07344465947768,0.951598937221722
2020-11-21,0.791507174290353,0.846285474883229,0.73853734969171
2020-11-22,0.783070468711308,0.838644311303618,0.72937652441659
2020-11-23,0.880634959083908,0.94110161996155,0.822149354586761
2020-11-24,0.948812762771207,1.01244265032469,0.887220511294939
