Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-20,,,
2020-06-21,,,
2020-06-22,,,
2020-06-23,,,
2020-06-24,,,
2020-06-25,,,
2020-06-26,1.26970799819486,1.58160530910849,0.991652480776228
2020-06-27,1.37455635777342,1.68963394738199,1.09159615924355
2020-06-28,1.63646849573253,1.96727409773119,1.33573862598508
2020-06-29,1.60002322844853,1.90820615620958,1.31864559961702
2020-06-30,1.47322541334024,1.75189104296418,1.21839755579281
2020-07-01,1.52935212128038,1.79998027498075,1.28049457176122
2020-07-02,1.30659407249853,1.5453800355345,1.08759739822501
2020-07-03,1.33676689799771,1.57059139673314,1.12155198119086
2020-07-04,1.21669713514568,1.43370058135962,1.0172778728261
2020-07-05,1.19446575666371,1.40501293263369,1.00079519405049
2020-07-06,1.19164993667572,1.39851695210702,1.00113198159094
2020-07-07,1.24472921799382,1.45238209294269,1.05289350645101
2020-07-08,1.23188797981485,1.43391268177955,1.04500925586399
2020-07-09,1.23239867881971,1.42990662981888,1.04938448674238
2020-07-10,1.10740668293944,1.29087805329775,0.937821178543882
2020-07-11,1.14192094978297,1.32611717216869,0.971323263229566
2020-07-12,1.05441088349654,1.22970482597278,0.892426388019836
2020-07-13,1.12740263404711,1.30750525097327,0.960477149804356
2020-07-14,1.13367444618848,1.31250667710343,0.967773504478019
2020-07-15,1.16491365125599,1.34372233996061,0.998709501368358
2020-07-16,1.11078495989798,1.28281678732989,0.950981534020529
2020-07-17,1.08031270445502,1.24813058927103,0.924457278416987
2020-07-18,0.985009185898998,1.14441498711744,0.837407547144356
2020-07-19,1.02699509539299,1.19001873791054,0.875828697282401
2020-07-20,0.85837909708957,1.00795494222868,0.720665857620758
2020-07-21,0.759795931411219,0.902878571227497,0.62890317512517
2020-07-22,0.653333506955128,0.790346891637522,0.529202238208479
2020-07-23,0.837844204119813,0.998483670850804,0.691118150169652
2020-07-24,1.01274262808826,1.19265760538539,0.847353381986915
2020-07-25,1.1537641676851,1.34491588834624,0.977079593404731
2020-07-26,1.15942512540097,1.3476750753876101,0.985157963459627
2020-07-27,1.25971302992661,1.45194012459749,1.08096226579264
2020-07-28,1.27182040405844,1.4599411374497,1.09650974367946
2020-07-29,1.19632948599885,1.37377221564339,1.03100087923407
2020-07-30,1.05687141604531,1.22055343158099,0.90482427902654206
2020-07-31,1.00273729530187,1.16141021170817,0.85557141918711
2020-08-01,0.933941656597312,1.08762229551173,0.791818781331533
2020-08-02,0.92491003792513,1.07920884096421,0.782364355961924
2020-08-03,0.956325897899075,1.11476671796977,0.809876529062626
2020-08-04,0.961716767596722,1.12160047742575,0.813972460487475
2020-08-05,1.1124496329406801,1.28473927512157,0.952406718354977
2020-08-06,1.10442593063632,1.27445319132292,0.94641737259737
2020-08-07,1.08400142513186,1.25039047308643,0.929341433683764
2020-08-08,1.03539983131313,1.19672963317581,0.88560257478764
2020-08-09,1.02843998747733,1.18868534814825,0.879649651641725
2020-08-10,0.928654428144906,1.08095004036638,0.787776558268204
2020-08-11,0.942247247518411,1.09677202775499,0.799307332406234
2020-08-12,0.877195786330471,1.02778411388805,0.738386378301243
2020-08-13,0.848791006925501,0.998989734795584,0.710674972626916
2020-08-14,0.845136633497717,0.997696374191523,0.705077248297003
2020-08-15,0.942749688001371,1.10640833325728,0.79202527037929
2020-08-16,0.908076798991277,1.07003641006938,0.759241069742452
2020-08-17,0.908197902218632,1.07147934216888,0.758245478390191
2020-08-18,0.861452766662858,1.02226619821083,0.714229954925668
2020-08-19,0.819176247758052,0.978434051334646,0.673889272927884
2020-08-20,0.851027153096501,1.01647715919363,0.700091184298442
