Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,1.66113461917189,2.06040269556705,1.3043479601421
2020-06-18,1.8322906680448,2.22519423128739,1.47708488568377
2020-06-19,1.46977995473783,1.79627305106935,1.17563424671583
2020-06-20,1.34904136693455,1.64690505480948,1.08052683252707
2020-06-21,1.10967101253372,1.37267982553119,0.874294545595937
2020-06-22,1.37662243367433,1.66531985552627,1.11506859102283
2020-06-23,1.32757788372879,1.60300659199049,1.07779189779815
2020-06-24,1.00229576911336,1.23507617093193,0.793526999236848
2020-06-25,1.06420838536944,1.30354109515233,0.848854286369072
2020-06-26,1.16727894976855,1.41758206305762,0.940991581821336
2020-06-27,1.3210767382744,1.58287150946773,1.08265426814146
2020-06-28,1.54831193628143,1.82229514448942,1.29636922865196
2020-06-29,1.4712793767517,1.72478879300691,1.23766723316963
2020-06-30,1.36601461587431,1.59881097887421,1.15130458300632
2020-07-01,1.46017471719813,1.6919606353369,1.24524734938385
2020-07-02,1.24592733411387,1.45164332418888,1.05573139952102
2020-07-03,1.27719116720354,1.47993055437568,1.08919768085593
2020-07-04,1.25699451317072,1.45345062305575,1.07462193537089
2020-07-05,1.35433444489903,1.55302883190369,1.16906705337097
2020-07-06,1.17768695046738,1.35739719839054,1.01057552325692
2020-07-07,1.24302072538254,1.42392257591687,1.0742517984851
2020-07-08,1.34223957720242,1.52617396550727,1.1699646951316
2020-07-09,1.30597587579008,1.48164778779792,1.14124701460339
2020-07-10,1.26205509673273,1.42954319495833,1.10486862065432
2020-07-11,1.20103823759529,1.36042875139444,1.05145129112063
2020-07-12,1.17687628296797,1.3316914544492,1.03150468538168
2020-07-13,1.30021321477143,1.46011634580059,1.1494637727473
2020-07-14,1.2465485870852,1.39898056906449,1.10279572021501
2020-07-15,1.09855321165103,1.23826791556387,0.967094068160886
2020-07-16,1.13325124496864,1.27369845935086,1.00090267687019
2020-07-17,1.06512195518464,1.20003511998802,0.938150108652342
2020-07-18,1.04404663245935,1.17682915457862,0.919110057142613
2020-07-19,0.952445050572538,1.07912612520018,0.833572027118253
2020-07-20,0.883924363901634,1.00680877287628,0.768935494004227
2020-07-21,0.822970786708407,0.9433836626716,0.710674439494038
2020-07-22,0.82533906044815,0.948437476955025,0.710688405207512
2020-07-23,0.859213600994212,0.987364368105762,0.739857318144633
2020-07-24,0.924641304019173,1.05956766565557,0.798786961725097
2020-07-25,1.02244859889699,1.1652873433633,0.888829693168679
2020-07-26,0.998116580078739,1.13894611790235,0.866462173533643
2020-07-27,1.02355421643758,1.16585016400627,0.890401033389917
2020-07-28,1.10079487493852,1.24786462038986,0.962828127198428
2020-07-29,1.0983001237937,1.24373370826347,0.961793034556109
2020-07-30,1.02851755700814,1.16782332270723,0.897945861583267
2020-07-31,1.07175218841468,1.21335773678806,0.938820151609084
2020-08-01,0.865129136290566,0.992052219479176,0.746783022434305
2020-08-02,0.946168382164664,1.08034190305976,0.820777702043905
2020-08-03,0.941461283433874,1.07668789423911,0.815193316508869
2020-08-04,0.918779851748092,1.05321102003842,0.793410126708232
2020-08-05,1.00280655396216,1.14429782496162,0.870533526565897
2020-08-06,1.07824921344322,1.22497037355567,0.940767276129711
2020-08-07,0.998474560822228,1.1386542238083,0.867385096398239
2020-08-08,1.06210288811354,1.20629110783259,0.926974556162226
2020-08-09,0.990783233172777,1.12953940876318,0.86100408980024
2020-08-10,1.06133642006487,1.20475625055461,0.926889131820429
2020-08-11,1.06177935524697,1.20460344022775,0.927852146281066
2020-08-12,1.00129669588236,1.13916327960703,0.87220849087259
2020-08-13,0.90786191039073,1.039288957795,0.785205965713791
2020-08-14,0.869177631766848,0.999178091468519,0.748121974616679
