Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-20,,,
2020-06-21,,,
2020-06-22,1.30926967194156,1.62622205111516,1.0262584225151
2020-06-23,1.29708619742812,1.60451524377406,1.02195639497677
2020-06-24,1.19299005489455,1.47973553529022,0.936753786605969
2020-06-25,,,
2020-06-26,1.28067589299995,1.5723514547158,1.01855954360141
2020-06-27,1.33549301174122,1.62687749812397,1.07251055104661
2020-06-28,1.43142729699907,1.72226182822049,1.16715789382669
2020-06-29,1.38524670383086,1.65975789108361,1.13524310350838
2020-06-30,1.24836711112444,1.4994504133214,1.02000639211276
2020-07-01,1.2814937329549,1.52947000603575,1.05517797546636
2020-07-02,1.30830890467023,1.55254010645721,1.08471810199336
2020-07-03,1.34932122452474,1.58997877792354,1.12816459034342
2020-07-04,1.28402479156253,1.51124078309962,1.07508712527638
2020-07-05,1.22456551075212,1.4404183375416,1.02601457691327
2020-07-06,1.42102702629389,1.64803615189758,1.21062692847379
2020-07-07,1.52385675992621,1.74987919457583,1.31326501411017
2020-07-08,1.6438710165823,1.86652225779367,1.43517936690416
2020-07-09,1.35244004605658,1.54278686164104,1.17446542240894
2020-07-10,1.30353989237005,1.48345163260562,1.13510943648336
2020-07-11,1.32931455433996,1.50612160075248,1.16340509835487
2020-07-12,1.25842180125461,1.42542772263112,1.10168784497049
2020-07-13,1.06388691131669,1.21399633240806,0.923557211624253
2020-07-14,0.914035024210165,1.05270518779923,0.785033939109886
2020-07-15,0.695584993781101,0.818672986395295,0.582398779418813
2020-07-16,0.896492180052024,1.04063103289752,0.762962486985408
2020-07-17,0.913003845050867,1.06124362733866,0.775774984443312
2020-07-18,0.968698929912697,1.12246872761246,0.826113314124095
2020-07-19,1.03585697686895,1.19532799194975,0.887658475992262
2020-07-20,1.11116681553976,1.27552454686121,0.958001016656631
2020-07-21,1.25390939466892,1.42614713021826,1.09261405372442
2020-07-22,1.24281147492723,1.40998689685734,1.08604983581146
2020-07-23,1.248107522518,1.41122870809492,1.09487581431706
2020-07-24,1.12917577135831,1.28072053154028,0.987050948326481
2020-07-25,1.18112110277804,1.3338511460266,1.03755804472859
2020-07-26,1.23482968202413,1.38846302427669,1.09008799292268
2020-07-27,1.1944940078615,1.34224486091614,1.0552473825755
2020-07-28,1.09710557408269,1.23606992873,0.966321000631652
2020-07-29,1.06837753275272,1.20425447441796,0.940529383122617
2020-07-30,1.11700238995366,1.25516805247982,0.986789251826745
2020-07-31,1.21942352629748,1.36220084095862,1.08444823657369
2020-08-01,1.09964561312335,1.23261464888022,0.97416767705429
2020-08-02,1.05121349007213,1.17975926633404,0.92998680508278
2020-08-03,1.04022088071403,1.16766345510177,0.920047579559065
2020-08-04,1.00084103162433,1.12560643061902,0.883309900029852
2020-08-05,1.02544313451871,1.1517960771806,0.906336390091887
2020-08-06,0.916795075016759,1.03635817680273,0.804466011760313
2020-08-07,0.850052119874286,0.966264919869704,0.741189681546078
2020-08-08,0.791305366117347,0.905558504656307,0.684658452610081
2020-08-09,0.773881005372499,0.889628216041403,0.66609788919754
2020-08-10,0.800313407739278,0.921035277219959,0.687964107214425
2020-08-11,0.877285038780162,1.00634092044057,0.756972400018088
2020-08-12,0.848116715244323,0.976786274430172,0.728418920673766
2020-08-13,0.827872010773264,0.956866070291628,0.708098999210381
2020-08-14,0.816710799811478,0.947180383503935,0.695786968672797
2020-08-15,1.00470551740048,1.15170888957382,0.867611028200623
2020-08-16,1.00156052113314,1.14849945083705,0.864551153981101
2020-08-17,1.00507958879596,1.15174374005308,0.868276668516194
2020-08-18,0.955652483939666,1.09858674465535,0.822552947984811
