Date,Rt,Rt upper,Rt lower
2020-08-05,,,
2020-08-06,,,
2020-08-07,,,
2020-08-08,,,
2020-08-09,,,
2020-08-10,,,
2020-08-11,,,
2020-08-12,,,
2020-08-13,,,
2020-08-14,,,
2020-08-15,,,
2020-08-16,,,
2020-08-17,,,
2020-08-18,,,
2020-08-19,,,
2020-08-20,,,
2020-08-21,,,
2020-08-22,,,
2020-08-23,,,
2020-08-24,,,
2020-08-25,,,
2020-08-26,,,
2020-08-27,,,
2020-08-28,,,
2020-08-29,,,
2020-08-30,,,
2020-08-31,,,
2020-09-01,,,
2020-09-02,,,
2020-09-03,,,
2020-09-04,,,
2020-09-05,,,
2020-09-06,,,
2020-09-07,,,
2020-09-08,,,
2020-09-09,,,
2020-09-10,,,
2020-09-11,13.2469789470326,14.3213246772444,12.2139690586608
2020-09-12,3.98270982058458,4.30929506300345,3.66882416887515
2020-09-13,2.3349890434392,2.52532031430437,2.15201659787073
2020-09-14,1.89737553365033,2.04935321180216,1.75117565923479
2020-09-15,1.63015916497955,1.76020170520502,1.50504113158217
2020-09-16,1.49340636810901,1.611020703451,1.38019118044689
2020-09-17,1.36747119807876,1.4752528042441,1.26372404434885
2020-09-18,0.19960251362294,0.240578809358578,0.162404571720792
2020-09-19,0.255716139421275,0.305903857652403,0.209969558892048
2020-09-20,0.331748159316179,0.395646681037351,0.273407437270462
2020-09-21,0.362044048258666,0.434499085746082,0.296116162634834
2020-09-22,0.416050283328459,0.499313463651966,0.340287912354626
2020-09-23,0.456744536788515,0.549544976966874,0.372420585168759
2020-09-24,0.539035392175457,0.645337899456289,0.442181180048946
2020-09-25,0.556839471549973,0.669977000094621,0.454036042330869
2020-09-26,0.610434120925459,0.733830952199546,0.498256114349695
2020-09-27,0.739815527535165,0.880381011065041,0.611323885204007
2020-09-28,0.841752675611779,0.994950706896121,0.701202458337413
2020-09-29,0.949789546490174,1.11405347431461,0.798462732849514
2020-09-30,0.910761279510996,1.07192602378813,0.762561386849074
2020-10-01,0.932336695403119,1.09604529989371,0.78170355586401
2020-10-02,0.977385763293022,1.14579463126452,0.822194854701896
2020-10-03,1.09830650542872,1.27663293650848,0.93322576545719
2020-10-04,1.06896374486973,1.2431014163341,0.90780048931351
2020-10-05,0.988117101913583,1.15411959985009,0.834841667168295
2020-10-06,1.06919164903195,1.24165635667698,0.909459382239107
2020-10-07,1.11148490526193,1.28627269599474,0.949299413688912
2020-10-08,1.1316497884835,1.30586818399108,0.969746354017474
2020-10-09,1.3107690739009,1.49525098118478,1.13827815033154
2020-10-10,1.23698021268219,1.41107683538393,1.07419954935178
2020-10-11,1.20845780271316,1.37605214210373,1.05160719428323
2020-10-12,1.06322317782899,1.2175481620452,0.919222942009475
2020-10-13,0.850163453717024,0.987746928517525,0.722768175810645
2020-10-14,1.55715933399128,1.74475871915464,1.3800920119422
2020-10-15,1.54085375278851,1.71941717711462,1.37195308538306
2020-10-16,1.49681541037749,1.66256276937686,1.33965837801627
2020-10-17,1.38293454561816,1.53466348765491,1.23900066270505
2020-10-18,1.26695946028302,1.40682018005508,1.1343261153294
2020-10-19,1.42587466419151,1.5702511197457,1.28836983244352
2020-10-20,1.4142602654491,1.55267564400724,1.28222246433082
2020-10-21,1.11130769683401,1.22933645287233,0.999158084625729
2020-10-22,1.04398108455431,1.15698044081218,0.936712762895446
2020-10-23,0.965576870986796,1.07437345183741,0.862512845692321
2020-10-24,1.06288227745577,1.17758722831246,0.95397849815941
2020-10-25,1.14937436616962,1.26825606911648,1.03626680378144
2020-10-26,1.1770415116586599,1.29560653623355,1.06409178301348
2020-10-27,1.1904593151896,1.30754253543543,1.07879605645133
2020-10-28,1.16885815475503,1.282702660538,1.06023487324817
2020-10-29,1.2239057793606,1.33837645773805,1.11448540264298
2020-10-30,1.24573708844794,1.35877905511976,1.13754000563865
2020-10-31,1.15316834820965,1.25938053109716,1.05157375788006
2020-11-01,1.18832638728979,1.29439399536667,1.0867333948527
2020-11-02,1.14978538219704,1.25241289816893,1.051487356598
2020-11-03,1.20301804195563,1.30638294189478,1.10385716719202
2020-11-04,1.16410693146845,1.26394082841773,1.06832612819756
2020-11-05,1.2175133572919,1.31786823899677,1.12108034723068
2020-11-06,1.26373148727688,1.36389416941122,1.16733828983714
2020-11-07,1.29374541365254,1.39247897522603,1.19859444242623
2020-11-08,1.30603236251363,1.40238980502411,1.21305902578518
2020-11-09,1.19873766534138,1.28837188803581,1.11229241228972
2020-11-10,1.19986465479452,1.28771922292806,1.11507301162293
2020-11-11,1.18004794977228,1.2656340650638,1.09741839410406
2020-11-12,1.09247123429256,1.17346787680811,1.01433269822128
2020-11-13,1.03648456853643,1.11471657452341,0.961061170206422
2020-11-14,1.06203845231356,1.14105686773478,0.985817845522251
2020-11-15,1.00377187101879,1.08031885680927,0.930000434531641
2020-11-16,1.03568680705968,1.11340726149712,0.960741045676407
2020-11-17,1.0045062921985,1.08093910762161,0.930838946567315
2020-11-18,0.951162238829578,1.02554342648917,0.879544231263132
2020-11-19,0.920306417942234,0.993901503123571,0.84950482774611
2020-11-20,0.853246441680547,0.924827738664498,0.784510400022986
2020-11-21,0.77782495232332,0.847322584563638,0.711262035614018
2020-11-22,0.646749429537135,0.71181360034031,0.584762946485149
2020-11-23,0.705819507159238,0.776374178631456,0.638581955513281
2020-11-24,0.676539959120305,0.74808684133434,0.608542434586818
