Date,Rt,Rt upper,Rt lower
2020-07-18,1.02905282882108,1.25764394770761,0.823109434403505
2020-07-19,1.13156093396105,1.37016775338301,0.915500368383333
2020-07-20,1.10551527025051,1.33862996565936,0.894427871086775
2020-07-21,1.19424459198805,1.43324599830262,0.976773758684323
2020-07-22,1.28488331918042,1.52792339701949,1.06263351242287
2020-07-23,1.0186171393003,1.22994666378944,0.826962631083176
2020-07-24,1.12228992392614,1.34255435699287,0.921516806913582
2020-07-25,1.07659285727021,1.29098618724008,0.881426019646062
2020-07-26,1.05999904423622,1.27108787259322,0.867840365167186
2020-07-27,1.0807429646574,1.29285325035643,0.887402430203897
2020-07-28,1.04750279117997,1.25508403577862,0.858453816424341
2020-07-29,0.932168277070233,1.12765730277502,0.755059297221059
2020-07-30,0.985638852993386,1.1879801381592,0.801955110115238
2020-07-31,0.955623634738462,1.15603158455911,0.774058212237459
2020-08-01,0.944911134826386,1.14526529718823,0.763584380842303
2020-08-02,0.876652748164562,1.07139010951798,0.701209041460661
2020-08-03,0.952342874241633,1.15772743866928,0.766767075994928
2020-08-04,0.988070079244768,1.19875034446387,0.797500075796895
2020-08-05,1.01201836104429,1.22541781226086,0.818783288234864
2020-08-06,0.92495642690058,1.12918362051605,0.740852180430527
2020-08-07,0.927082287230872,1.13302193522812,0.741546163341618
2020-08-08,0.922550414817261,1.13002527944435,0.735862341224964
2020-08-09,0.972297361648774,1.18697727061988,0.778770328477072
2020-08-10,0.991588359189087,1.20922148020874,0.795282859815837
2020-08-11,1.06120406844858,1.28621639436224,0.857560908838829
2020-08-12,1.02764277908253,1.24800329102733,0.828425120171903
2020-08-13,1.06464407807791,1.28791517479443,0.862365121360486
2020-08-14,1.07551347733008,1.29864711898661,0.873153828522113
2020-08-15,1.00590183756236,1.22038426180903,0.811892606153386
2020-08-16,0.918151188104142,1.12336030934399,0.733386558539531
2020-08-17,0.95756388477576,1.16899069279371,0.766969417483598
2020-08-18,0.837418466544997,1.03728483608861,0.65868274643169
2020-08-19,0.888181746285275,1.09725434217325,0.700939144556645
2020-08-20,0.879222982491566,1.09055183259815,0.690379148376694
2020-08-21,0.865145062346485,1.07766354602911,0.675685471405159
2020-08-22,1.17917636527083,1.4292029383878,0.952894533245855
2020-08-23,1.17053753690229,1.41601600711917,0.948139162986898
2020-08-24,1.04084342714912,1.26793980635765,0.835882739775245
2020-08-25,0.994834957683465,1.21582500767421,0.795739554286814
2020-08-26,0.976091478482535,1.19560733811383,0.778568790463522
2020-08-27,0.972375266782002,1.19243223802678,0.774491472237681
