Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-20,,,
2020-06-21,,,
2020-06-22,,,
2020-06-23,,,
2020-06-24,,,
2020-06-25,,,
2020-06-26,,,
2020-06-27,,,
2020-06-28,1.85177850188759,2.25820555507777,1.48518050769677
2020-06-29,1.6177102405486,1.97276415510238,1.29745091754503
2020-06-30,1.34120535092637,1.64473177475129,1.06826257546604
2020-07-01,1.19699958060941,1.47499940056017,0.947675840364967
2020-07-02,1.11627271599676,1.38084623256128,0.879495937057174
2020-07-03,1.25923991430904,1.53727575071019,1.00859955028052
2020-07-04,1.5156356901272099,1.81309949952655,1.24449461038038
2020-07-05,1.15284173111225,1.40146636327223,0.928196248597738
2020-07-06,1.19370308344726,1.44135717768272,0.969105863757333
2020-07-07,1.34070367385651,1.5989386645258299,1.1049295838258
2020-07-08,1.42971834185914,1.68780378136553,1.19277976407884
2020-07-09,1.4002224825421,1.64514650077511,1.17479143278857
2020-07-10,1.26684652200451,1.49102271432887,1.06070411915554
2020-07-11,1.16659600909125,1.3763338599928,0.973979511338424
2020-07-12,1.20393543697518,1.41372579777156,1.01078319258886
2020-07-13,1.47913529354777,1.70684936216069,1.26751763011303
2020-07-14,1.41348687375178,1.62670181709222,1.21505928272134
2020-07-15,1.33450638208271,1.53299293899609,1.14960576176742
2020-07-16,1.21822239693399,1.40198301343614,1.0472063514002
2020-07-17,1.14339374630535,1.31787099048368,0.981148456304663
2020-07-18,1.09132432915613,1.25983616639474,0.934757238381162
2020-07-19,1.07679832725728,1.2430671985853,0.922315212617675
2020-07-20,0.85622045989037,1.00430182838403,0.719801698020484
2020-07-21,0.799278445023703,0.944746214563784,0.665820289955586
2020-07-22,0.787462793085522,0.93575557873193,0.651803767815106
2020-07-23,0.946904434006757,1.11317098153353,0.793917655259119
2020-07-24,0.96321805996077,1.13234911014231,0.807595567412703
2020-07-25,0.953042350564609,1.12168898736113,0.797962444080469
2020-07-26,0.946983519154501,1.11588232003787,0.791770895270106
2020-07-27,0.913662660936099,1.0806386353215,0.760524751952418
2020-07-28,0.900175417926186,1.06749336903578,0.746941692734404
2020-07-29,0.874402563325139,1.04129045554775,0.721908993695278
2020-07-30,0.765148023956519,0.923891050976081,0.621184151185417
2020-07-31,0.770108619113047,0.933398543025709,0.622326154739198
2020-08-01,0.785426344302313,0.95481328673414,0.632376298199998
2020-08-02,0.72260859725211,0.889328592351951,0.572983676704358
2020-08-03,0.840721168229428,1.02524206347137,0.674282961050486
2020-08-04,0.802731536060486,0.986734699011494,0.637484710402642
2020-08-05,0.842071901305404,1.03385484667112,0.669724772802639
2020-08-06,0.827875432181176,1.02143683168292,0.654401174484826
2020-08-07,0.910457303796709,1.11650170205073,0.725174160343126
2020-08-08,0.917042761641601,1.12590041569856,0.729351322896095
2020-08-09,0.873093694272839,1.07861465423232,0.689031889859219
2020-08-10,,,
2020-08-11,,,
2020-08-12,,,
2020-08-13,,,
2020-08-14,,,
2020-08-15,,,
2020-08-16,,,
2020-08-17,,,
2020-08-18,,,
2020-08-19,,,
2020-08-20,,,
2020-08-21,,,
2020-08-22,,,
2020-08-23,1.0826602628303,1.34666154119367,0.847114977178235
2020-08-24,1.0487385784514,1.30635587544836,0.81907353067446
2020-08-25,,,
2020-08-26,,,
2020-08-27,,,
2020-08-28,1.08590530479913,1.3487848912505,0.851176414597099
2020-08-29,1.14496749125121,1.4126665935264,0.905049288692703
2020-08-30,1.11305594830265,1.37329397289239,0.879824538237023
2020-08-31,1.53382477083295,1.8334287374559,1.26061742193318
2020-09-01,1.38483720729528,1.65663006211082,1.13709544579842
